Code,Description
10670,Reconstruction of brain using laser
11638,Suturing of pelvis using scalpel
80999,Blood test evaluation
14526,Suturing of ear using endoscope
14240,Repair of liver using catheter
90924,Consultation - preventive screening
10400,Drainage of brain using stent
16566,Excision of heart using laparoscope
12595,Excision of arm using endoscope
16116,Drainage of heart using stent
16226,Suturing of heart using laser
80213,Blood test evaluation
10926,Biopsy of arm using stent
16089,Suturing of neck using laparoscope
16459,Biopsy of chest using catheter
90971,Therapy session - preventive screening
15887,Drainage of brain using stent
15922,Drainage of spine using catheter
70438,Ultrasound of ear with contrast
13310,Excision of leg using catheter
13204,Reconstruction of ear using catheter
90538,Therapy session - preventive screening
14167,Biopsy of heart using laser
13571,Drainage of eye using catheter
16057,Drainage of chest using scalpel
11714,Excision of chest using catheter
80908,DNA screening evaluation
13613,Drainage of brain using laparoscope
90524,Therapy session - routine check
15386,Reconstruction of pelvis using scalpel
16289,Repair of skin using catheter
90852,Vaccination - follow-up visit
12513,Excision of arm using stent
10301,Suturing of neck using catheter
16329,Suturing of liver using endoscope
11747,Reconstruction of brain using endoscope
14013,Reconstruction of knee using endoscope
13501,Excision of neck using laser
14894,Reconstruction of kidney using laparoscope
16342,Biopsy of neck using scalpel
10456,Suturing of pelvis using scalpel
90770,Physical exam - routine check
16147,Excision of kidney using stent
15514,Biopsy of neck using stent
13223,Drainage of brain using catheter
16390,Reconstruction of leg using scalpel
12178,Reconstruction of skin using scalpel
12505,Biopsy of chest using laser
90856,Therapy session - routine check
80348,Culture test evaluation
11213,Drainage of pelvis using catheter
90688,Physical exam - follow-up visit
11960,Repair of lungs using laser
11929,Repair of spine using laparoscope
13180,Repair of neck using scalpel
12390,Biopsy of ear using scalpel
12692,Biopsy of liver using scalpel
80586,Blood test evaluation
12628,Reconstruction of arm using laparoscope
13849,Biopsy of arm using scalpel
15408,Suturing of kidney using endoscope
12963,Excision of leg using laparoscope
12291,Biopsy of neck using scalpel
80690,Culture test evaluation
14123,Reconstruction of abdomen using endoscope
13431,Drainage of kidney using stent
13415,Reconstruction of abdomen using catheter
14520,Excision of eye using endoscope
16079,Excision of brain using laser
10615,Suturing of liver using laparoscope
13445,Excision of kidney using laser
15860,Repair of leg using catheter
13393,Drainage of leg using laparoscope
10552,Repair of ear using scalpel
80930,Blood test evaluation
10126,Reconstruction of lungs using endoscope
15342,Drainage of kidney using laser
16475,Excision of skin using laparoscope
11573,Suturing of chest using catheter
70105,Ultrasound of spine with contrast
15195,Reconstruction of chest using scalpel
70294,CT scan of eye with contrast
70665,MRI scan of pelvis with contrast
10137,Drainage of leg using scalpel
90728,Physical exam - preventive screening
70029,Fluoroscopy of neck with contrast
15395,Suturing of knee using scalpel
80612,DNA screening evaluation
15423,Biopsy of spine using catheter
91141,Physical exam - preventive screening
14100,Reconstruction of ear using laser
14036,Biopsy of spine using stent
90853,Consultation - preventive screening
11235,Biopsy of kidney using scalpel
71119,Fluoroscopy of leg with contrast
80820,Tissue analysis evaluation
13352,Suturing of lungs using catheter
80358,Culture test evaluation
16191,Excision of pelvis using stent
10488,Reconstruction of liver using endoscope
70199,Fluoroscopy of kidney with contrast
16551,Repair of brain using laser
71073,Ultrasound of liver with contrast
16218,Biopsy of abdomen using stent
14410,Drainage of abdomen using catheter
10374,Suturing of eye using laparoscope
11158,Biopsy of skin using scalpel
11578,Drainage of neck using endoscope
10284,Suturing of ear using laser
91134,Consultation - preventive screening
10616,Suturing of arm using endoscope
14706,Biopsy of ear using catheter
12941,Drainage of heart using scalpel
12067,Drainage of leg using catheter
80663,Tissue analysis evaluation
16614,Repair of kidney using scalpel
70770,CT scan of liver with contrast
14329,Reconstruction of skin using scalpel
14691,Suturing of knee using laser
16386,Reconstruction of lungs using laparoscope
15797,Suturing of liver using endoscope
16623,Drainage of lungs using endoscope
11345,Drainage of kidney using catheter
00260,General anesthesia for arm surgery
91111,Consultation - follow-up visit
71071,Fluoroscopy of heart with contrast
12584,Suturing of heart using laser
15236,Excision of pelvis using scalpel
70295,Fluoroscopy of arm with contrast
14835,Drainage of leg using laparoscope
80981,Culture test evaluation
15196,Suturing of heart using catheter
10730,Biopsy of liver using stent
15338,Drainage of heart using scalpel
15384,Excision of kidney using laparoscope
10797,Drainage of liver using stent
91015,Therapy session - follow-up visit
10763,Biopsy of ear using catheter
11308,Drainage of pelvis using stent
00282,General anesthesia for skin surgery
13030,Repair of kidney using stent
80131,Blood test evaluation
10638,Biopsy of neck using laser
11071,Excision of brain using laser
70313,Fluoroscopy of lungs with contrast
13914,Biopsy of arm using stent
10001,Biopsy of arm using scalpel
11666,Drainage of ear using laser
80710,Blood test evaluation
80698,Blood test evaluation
11474,Reconstruction of chest using stent
12871,Drainage of liver using scalpel
12553,Reconstruction of pelvis using scalpel
10728,Repair of brain using stent
13026,Excision of abdomen using catheter
11751,Suturing of brain using endoscope
10661,Excision of heart using endoscope
15152,Drainage of arm using laparoscope
70654,CT scan of brain with contrast
14300,Reconstruction of ear using endoscope
10013,Excision of abdomen using laparoscope
15897,Biopsy of liver using endoscope
13306,Reconstruction of skin using endoscope
80588,Tissue analysis evaluation
10035,Reconstruction of neck using laser
12620,Reconstruction of pelvis using endoscope
80127,Blood test evaluation
11240,Suturing of chest using laparoscope
90784,Therapy session - follow-up visit
80160,Blood test evaluation
13421,Biopsy of leg using endoscope
80406,Culture test evaluation
11049,Biopsy of spine using catheter
70434,Fluoroscopy of pelvis with contrast
16394,Excision of lungs using scalpel
13831,Drainage of kidney using endoscope
11298,Drainage of ear using endoscope
12921,Suturing of skin using laparoscope
13295,Suturing of skin using catheter
12447,Reconstruction of arm using stent
90298,Vaccination - preventive screening
14568,Biopsy of kidney using laser
70839,MRI scan of abdomen with contrast
14196,Reconstruction of neck using catheter
14656,Suturing of lungs using catheter
12580,Reconstruction of arm using laser
90701,Therapy session - preventive screening
71022,Ultrasound of lungs with contrast
14871,Reconstruction of arm using laser
15403,Biopsy of pelvis using laparoscope
15650,Drainage of neck using endoscope
10660,Drainage of kidney using catheter
14398,Reconstruction of abdomen using laparoscope
16279,Repair of skin using scalpel
12926,Reconstruction of chest using laser
12218,Excision of neck using catheter
12794,Repair of brain using scalpel
70449,MRI scan of pelvis with contrast
14561,Suturing of chest using catheter
00291,Sedation for eye surgery
11701,Drainage of chest using catheter
12293,Suturing of arm using endoscope
70799,Fluoroscopy of ear with contrast
15088,Repair of lungs using catheter
91251,Vaccination - routine check
80715,Culture test evaluation
90691,Therapy session - follow-up visit
11286,Drainage of ear using endoscope
11028,Reconstruction of pelvis using stent
11019,Reconstruction of lungs using laparoscope
12757,Drainage of neck using stent
16046,Biopsy of spine using laparoscope
14400,Suturing of eye using endoscope
16017,Reconstruction of liver using laparoscope
70231,CT scan of ear with contrast
13134,Repair of liver using scalpel
10964,Suturing of leg using scalpel
10231,Drainage of pelvis using endoscope
15702,Repair of ear using stent
90677,Physical exam - routine check
11405,Repair of liver using laparoscope
90910,Physical exam - routine check
11402,Reconstruction of brain using endoscope
10113,Suturing of heart using endoscope
13389,Excision of arm using scalpel
14672,Suturing of lungs using stent
70877,X-ray of lungs with contrast
12770,Drainage of arm using endoscope
16346,Suturing of pelvis using endoscope
16588,Biopsy of abdomen using catheter
12900,Reconstruction of skin using laparoscope
81066,Blood test evaluation
13455,Drainage of brain using catheter
12843,Drainage of neck using laparoscope
13277,Reconstruction of neck using scalpel
11132,Excision of brain using laparoscope
13674,Biopsy of neck using stent
15815,Suturing of heart using stent
16529,Reconstruction of brain using catheter
11841,Biopsy of knee using catheter
12609,Suturing of arm using scalpel
80244,Culture test evaluation
13399,Drainage of ear using endoscope
16018,Drainage of spine using laser
71113,CT scan of heart with contrast
11761,Biopsy of eye using catheter
80224,Culture test evaluation
90849,Physical exam - follow-up visit
80536,DNA screening evaluation
11752,Drainage of chest using scalpel
10320,Excision of knee using laparoscope
16325,Repair of neck using catheter
12313,Repair of spine using laparoscope
10895,Drainage of arm using laparoscope
11142,Excision of neck using laparoscope
90631,Physical exam - preventive screening
16083,Reconstruction of heart using laparoscope
70315,Ultrasound of abdomen with contrast
90844,Therapy session - preventive screening
10925,Repair of pelvis using laser
15636,Suturing of neck using stent
13654,Drainage of kidney using scalpel
11893,Reconstruction of kidney using catheter
11023,Suturing of skin using laparoscope
10529,Repair of chest using catheter
15440,Repair of kidney using catheter
14504,Repair of ear using scalpel
14700,Reconstruction of leg using catheter
80125,Blood test evaluation
80744,Blood test evaluation
15855,Repair of skin using laser
13676,Excision of arm using catheter
16640,Biopsy of lungs using catheter
10065,Repair of liver using catheter
11732,Excision of neck using catheter
90915,Vaccination - preventive screening
91132,Consultation - routine check
15316,Repair of skin using endoscope
11085,Reconstruction of neck using stent
80288,Culture test evaluation
10138,Excision of knee using stent
15031,Suturing of brain using scalpel
70650,Ultrasound of leg with contrast
80108,Blood test evaluation
13075,Reconstruction of neck using endoscope
14734,Suturing of abdomen using laparoscope
14780,Biopsy of spine using endoscope
16138,Repair of neck using endoscope
14126,Biopsy of lungs using laser
90954,Vaccination - routine check
70587,CT scan of brain with contrast
14702,Repair of brain using endoscope
11452,Excision of heart using scalpel
70647,Fluoroscopy of skin with contrast
13258,Biopsy of lungs using endoscope
15641,Suturing of neck using scalpel
15123,Excision of brain using laparoscope
16520,Repair of eye using scalpel
12283,Biopsy of skin using laparoscope
13846,Reconstruction of abdomen using catheter
12139,Reconstruction of spine using stent
11981,Repair of skin using scalpel
14023,Biopsy of pelvis using endoscope
15890,Excision of abdomen using laser
80295,Tissue analysis evaluation
13095,Suturing of brain using laparoscope
70030,Fluoroscopy of eye with contrast
10671,Drainage of abdomen using laser
10300,Repair of skin using catheter
16554,Excision of kidney using endoscope
14626,Biopsy of heart using stent
70986,Ultrasound of pelvis with contrast
14326,Suturing of abdomen using laparoscope
10786,Suturing of neck using laser
12646,Reconstruction of lungs using catheter
90505,Physical exam - preventive screening
11145,Repair of ear using stent
12531,Drainage of abdomen using catheter
11058,Reconstruction of heart using laparoscope
80069,Culture test evaluation
00217,Sedation for liver surgery
11863,Suturing of kidney using stent
11267,Repair of ear using endoscope
80461,Blood test evaluation
10281,Excision of neck using endoscope
00205,Local anesthesia for kidney surgery
14766,Drainage of liver using laser
13217,Reconstruction of leg using laser
10504,Excision of heart using laser
15010,Suturing of neck using catheter
00308,Sedation for arm surgery
13953,Biopsy of spine using catheter
12715,Repair of eye using endoscope
10657,Biopsy of abdomen using laparoscope
70933,Ultrasound of heart with contrast
16642,Excision of kidney using scalpel
12153,Excision of skin using laparoscope
14014,Repair of kidney using laparoscope
80916,DNA screening evaluation
11223,Biopsy of pelvis using catheter
13280,Excision of kidney using laser
11915,Biopsy of liver using catheter
70594,CT scan of eye with contrast
10692,Repair of heart using endoscope
13087,Drainage of spine using laparoscope
11167,Drainage of pelvis using scalpel
00169,Local anesthesia for kidney surgery
15307,Suturing of kidney using laparoscope
16183,Suturing of leg using stent
90997,Consultation - preventive screening
14184,Biopsy of neck using scalpel
12483,Repair of leg using laparoscope
14349,Repair of ear using laser
80489,Blood test evaluation
10499,Drainage of chest using catheter
10887,Biopsy of heart using catheter
70888,CT scan of liver with contrast
16321,Biopsy of liver using laser
80067,Blood test evaluation
00112,Local anesthesia for brain surgery
13475,Biopsy of neck using laparoscope
12240,Reconstruction of leg using laser
13341,Reconstruction of heart using catheter
70772,X-ray of eye with contrast
80143,Tissue analysis evaluation
16648,Excision of spine using scalpel
11641,Suturing of abdomen using catheter
80873,Tissue analysis evaluation
15136,Repair of spine using laser
10381,Excision of ear using scalpel
80124,Culture test evaluation
10517,Drainage of knee using laparoscope
13225,Reconstruction of arm using laparoscope
13955,Biopsy of neck using laser
14034,Excision of leg using laparoscope
13464,Suturing of skin using catheter
11574,Biopsy of ear using endoscope
15177,Drainage of pelvis using endoscope
90343,Consultation - follow-up visit
15298,Drainage of abdomen using laparoscope
10802,Repair of kidney using scalpel
14562,Suturing of lungs using laser
91249,Vaccination - follow-up visit
14524,Suturing of abdomen using laparoscope
15925,Biopsy of brain using scalpel
13016,Excision of skin using laser
15752,Excision of chest using laparoscope
70663,Ultrasound of spine with contrast
15382,Biopsy of ear using catheter
13772,Excision of leg using stent
70945,X-ray of ear with contrast
16483,Biopsy of skin using catheter
80290,Culture test evaluation
14692,Drainage of abdomen using stent
71116,MRI scan of leg with contrast
12013,Biopsy of liver using endoscope
91203,Therapy session - routine check
10871,Biopsy of lungs using endoscope
15273,Reconstruction of knee using laparoscope
11667,Drainage of liver using stent
14409,Reconstruction of knee using stent
70374,X-ray of knee with contrast
16275,Drainage of abdomen using laparoscope
16195,Reconstruction of eye using scalpel
80085,Blood test evaluation
15291,Excision of brain using stent
90727,Physical exam - preventive screening
00272,Local anesthesia for leg surgery
15749,Drainage of heart using endoscope
11630,Repair of skin using catheter
15572,Drainage of arm using stent
15590,Suturing of pelvis using laser
16542,Biopsy of spine using laser
70457,Fluoroscopy of arm with contrast
13590,Biopsy of abdomen using stent
16014,Suturing of leg using endoscope
10980,Reconstruction of brain using laparoscope
13338,Reconstruction of leg using stent
90648,Consultation - routine check
70053,MRI scan of knee with contrast
11518,Suturing of pelvis using stent
15834,Drainage of kidney using stent
70747,MRI scan of spine with contrast
00277,Local anesthesia for eye surgery
15498,Reconstruction of brain using scalpel
16664,Suturing of knee using scalpel
12258,Reconstruction of chest using endoscope
80049,Blood test evaluation
11724,Biopsy of brain using catheter
10520,Suturing of arm using stent
11385,Reconstruction of arm using laser
13483,Biopsy of pelvis using scalpel
12215,Excision of liver using endoscope
14117,Suturing of skin using stent
15940,Reconstruction of lungs using endoscope
71111,MRI scan of knee with contrast
10519,Excision of chest using catheter
12294,Repair of pelvis using catheter
81042,Blood test evaluation
80834,Culture test evaluation
90742,Physical exam - routine check
70606,Ultrasound of heart with contrast
70854,X-ray of skin with contrast
90855,Consultation - follow-up visit
90317,Vaccination - preventive screening
14463,Biopsy of neck using stent
15853,Reconstruction of kidney using stent
12478,Excision of spine using endoscope
14229,Excision of spine using laparoscope
14574,Suturing of ear using endoscope
13744,Excision of skin using endoscope
16272,Suturing of lungs using stent
80057,Tissue analysis evaluation
16242,Repair of heart using laparoscope
13101,Biopsy of neck using endoscope
90344,Consultation - preventive screening
12935,Suturing of liver using laser
80985,Tissue analysis evaluation
80746,DNA screening evaluation
12229,Drainage of neck using laser
80256,DNA screening evaluation
13054,Biopsy of knee using scalpel
11639,Suturing of pelvis using endoscope
12190,Repair of abdomen using scalpel
13438,Drainage of chest using stent
81080,Tissue analysis evaluation
90966,Vaccination - preventive screening
13211,Repair of knee using laser
15264,Suturing of leg using laser
90429,Consultation - preventive screening
80831,Tissue analysis evaluation
70503,Fluoroscopy of brain with contrast
16007,Repair of arm using laparoscope
16635,Drainage of knee using endoscope
90544,Physical exam - routine check
14777,Drainage of leg using scalpel
70673,X-ray of arm with contrast
10694,Suturing of arm using catheter
16071,Excision of abdomen using laparoscope
10848,Reconstruction of lungs using laparoscope
14739,Repair of brain using stent
13943,Suturing of ear using catheter
70320,X-ray of arm with contrast
14922,Suturing of kidney using endoscope
71058,MRI scan of liver with contrast
14681,Biopsy of abdomen using scalpel
13627,Reconstruction of kidney using laparoscope
70141,CT scan of skin with contrast
15930,Repair of heart using laparoscope
70490,CT scan of spine with contrast
14810,Biopsy of leg using scalpel
70495,Fluoroscopy of ear with contrast
12657,Biopsy of neck using stent
13799,Excision of neck using catheter
13009,Reconstruction of lungs using laser
80675,Culture test evaluation
15377,Repair of abdomen using scalpel
91079,Therapy session - preventive screening
14648,Excision of chest using endoscope
14867,Suturing of spine using endoscope
14177,Excision of kidney using laser
10943,Biopsy of lungs using catheter
91061,Therapy session - routine check
13139,Drainage of heart using laser
10219,Drainage of kidney using catheter
15656,Reconstruction of ear using laparoscope
14020,Biopsy of chest using stent
13155,Reconstruction of heart using stent
15604,Repair of spine using stent
70922,MRI scan of spine with contrast
13034,Repair of lungs using catheter
14976,Suturing of chest using laparoscope
90642,Vaccination - follow-up visit
11095,Repair of liver using scalpel
11314,Biopsy of chest using catheter
90452,Consultation - routine check
90340,Vaccination - preventive screening
11628,Biopsy of heart using endoscope
80193,DNA screening evaluation
15807,Repair of heart using stent
14346,Suturing of knee using scalpel
70525,Fluoroscopy of pelvis with contrast
14660,Drainage of leg using stent
10598,Suturing of liver using laparoscope
12107,Biopsy of skin using catheter
13711,Repair of eye using laser
11372,Reconstruction of knee using endoscope
12186,Repair of pelvis using stent
90495,Consultation - preventive screening
10653,Suturing of lungs using catheter
10333,Drainage of leg using endoscope
10234,Reconstruction of pelvis using stent
14572,Drainage of liver using scalpel
90874,Physical exam - routine check
14203,Excision of ear using stent
13242,Biopsy of knee using laparoscope
16037,Repair of ear using endoscope
14213,Reconstruction of knee using endoscope
15529,Reconstruction of heart using scalpel
15481,Drainage of pelvis using laparoscope
15782,Repair of eye using laparoscope
13636,Repair of heart using laparoscope
11936,Suturing of neck using catheter
80798,Tissue analysis evaluation
15220,Reconstruction of leg using laser
80544,DNA screening evaluation
10962,Biopsy of arm using stent
12643,Repair of chest using scalpel
10665,Reconstruction of spine using stent
14919,Reconstruction of pelvis using catheter
14613,Biopsy of brain using laser
00136,General anesthesia for chest surgery
70929,MRI scan of liver with contrast
16109,Biopsy of brain using laser
70913,CT scan of neck with contrast
11093,Excision of neck using endoscope
12528,Excision of lungs using endoscope
15776,Biopsy of heart using endoscope
14492,Drainage of chest using scalpel
14565,Biopsy of pelvis using catheter
16518,Reconstruction of leg using laser
16622,Drainage of leg using laser
90567,Consultation - preventive screening
80405,Tissue analysis evaluation
15753,Reconstruction of skin using endoscope
14062,Reconstruction of brain using laser
70662,CT scan of pelvis with contrast
12697,Repair of chest using scalpel
10777,Excision of neck using scalpel
13328,Drainage of kidney using scalpel
80297,Blood test evaluation
16490,Drainage of brain using laser
80818,Blood test evaluation
90302,Physical exam - follow-up visit
16610,Biopsy of knee using laparoscope
10375,Reconstruction of heart using scalpel
70338,X-ray of arm with contrast
10547,Excision of brain using stent
80512,Tissue analysis evaluation
13429,Excision of spine using endoscope
10851,Reconstruction of abdomen using scalpel
13463,Biopsy of pelvis using laparoscope
14487,Reconstruction of lungs using laser
13798,Reconstruction of lungs using scalpel
11507,Biopsy of kidney using endoscope
81039,Blood test evaluation
14275,Excision of ear using laser
10725,Biopsy of neck using scalpel
70731,MRI scan of lungs with contrast
14809,Reconstruction of neck using stent
11880,Repair of skin using laser
10253,Suturing of leg using laser
11943,Excision of arm using laser
12762,Drainage of arm using laser
11909,Drainage of kidney using scalpel
80904,Tissue analysis evaluation
13685,Biopsy of brain using laparoscope
14772,Repair of ear using stent
16236,Excision of abdomen using catheter
14941,Suturing of kidney using stent
16626,Drainage of eye using laser
15166,Suturing of neck using laser
80438,Culture test evaluation
70957,Fluoroscopy of pelvis with contrast
70796,Ultrasound of skin with contrast
70925,MRI scan of skin with contrast
12955,Biopsy of spine using catheter
11762,Repair of lungs using laparoscope
12918,Suturing of neck using endoscope
12756,Drainage of lungs using catheter
16245,Excision of brain using endoscope
14224,Excision of ear using endoscope
12956,Biopsy of arm using catheter
11420,Suturing of skin using laser
15738,Reconstruction of spine using catheter
71114,MRI scan of spine with contrast
10963,Repair of skin using endoscope
10731,Repair of neck using laparoscope
91034,Physical exam - preventive screening
14798,Excision of liver using laparoscope
14597,Biopsy of knee using laparoscope
14263,Biopsy of liver using endoscope
13916,Excision of spine using laser
11072,Reconstruction of ear using stent
15719,Excision of abdomen using stent
16317,Excision of brain using laparoscope
91113,Physical exam - preventive screening
10592,Drainage of skin using laparoscope
70685,CT scan of eye with contrast
91057,Consultation - follow-up visit
80965,DNA screening evaluation
15983,Excision of knee using laser
14963,Reconstruction of knee using laparoscope
10437,Drainage of lungs using catheter
14056,Suturing of abdomen using laser
13108,Biopsy of ear using stent
13351,Excision of ear using laparoscope
90551,Physical exam - routine check
90607,Therapy session - preventive screening
70558,Ultrasound of abdomen with contrast
12173,Reconstruction of ear using catheter
10181,Reconstruction of knee using scalpel
10808,Suturing of knee using scalpel
14163,Biopsy of chest using endoscope
12100,Reconstruction of arm using endoscope
70848,Fluoroscopy of spine with contrast
10468,Biopsy of kidney using laser
13142,Excision of lungs using stent
12832,Drainage of heart using stent
15726,Reconstruction of ear using endoscope
12120,Excision of ear using laparoscope
11730,Biopsy of chest using endoscope
14885,Drainage of skin using catheter
10766,Suturing of liver using laser
11877,Excision of chest using catheter
13564,Biopsy of skin using scalpel
11179,Drainage of lungs using catheter
70403,X-ray of lungs with contrast
90582,Physical exam - follow-up visit
12751,Drainage of ear using catheter
16030,Repair of neck using laser
15787,Biopsy of leg using laparoscope
71009,CT scan of abdomen with contrast
90466,Therapy session - routine check
16559,Excision of kidney using scalpel
15087,Reconstruction of pelvis using catheter
70058,Fluoroscopy of leg with contrast
70384,Ultrasound of neck with contrast
10613,Excision of chest using stent
10243,Reconstruction of knee using endoscope
16288,Excision of skin using laparoscope
11045,Biopsy of leg using stent
15832,Biopsy of lungs using laser
70825,CT scan of abdomen with contrast
15206,Biopsy of abdomen using laparoscope
00299,Local anesthesia for ear surgery
12790,Biopsy of pelvis using laser
80711,Culture test evaluation
90454,Physical exam - follow-up visit
80208,Blood test evaluation
80496,Tissue analysis evaluation
71087,Fluoroscopy of pelvis with contrast
80389,Blood test evaluation
14803,Suturing of neck using endoscope
90945,Therapy session - follow-up visit
70901,Ultrasound of knee with contrast
11660,Repair of liver using scalpel
80158,Culture test evaluation
12777,Drainage of neck using endoscope
14560,Suturing of arm using laser
11221,Biopsy of brain using endoscope
14724,Drainage of lungs using scalpel
12494,Biopsy of heart using scalpel
12826,Biopsy of spine using catheter
10155,Excision of skin using laparoscope
15135,Drainage of neck using endoscope
11248,Excision of chest using endoscope
13120,Biopsy of kidney using laparoscope
15703,Excision of eye using endoscope
80822,Culture test evaluation
80245,Culture test evaluation
70012,X-ray of heart with contrast
12952,Drainage of chest using scalpel
90572,Physical exam - follow-up visit
12508,Reconstruction of abdomen using scalpel
80940,Culture test evaluation
11438,Excision of neck using laparoscope
90749,Physical exam - routine check
80797,Blood test evaluation
15230,Excision of spine using endoscope
80970,Tissue analysis evaluation
15826,Repair of knee using laser
15678,Biopsy of neck using laser
15364,Drainage of chest using scalpel
91010,Vaccination - preventive screening
12974,Drainage of eye using endoscope
15125,Excision of heart using laparoscope
70464,CT scan of spine with contrast
12303,Reconstruction of eye using laser
12337,Drainage of skin using stent
13561,Drainage of skin using laser
12415,Drainage of eye using endoscope
15351,Biopsy of pelvis using endoscope
12766,Excision of arm using catheter
13540,Drainage of neck using scalpel
13751,Suturing of eye using laparoscope
10430,Reconstruction of ear using catheter
12769,Drainage of skin using catheter
91091,Physical exam - preventive screening
11006,Suturing of neck using catheter
15044,Reconstruction of pelvis using catheter
00209,Local anesthesia for liver surgery
16512,Repair of spine using laser
90925,Vaccination - follow-up visit
14208,Biopsy of eye using endoscope
10691,Reconstruction of liver using laparoscope
13593,Suturing of spine using laparoscope
13130,Suturing of ear using stent
14358,Drainage of arm using laparoscope
13797,Reconstruction of lungs using laser
14877,Repair of arm using laser
90814,Vaccination - routine check
90800,Physical exam - follow-up visit
70614,MRI scan of heart with contrast
90999,Consultation - routine check
11050,Drainage of kidney using endoscope
81052,Culture test evaluation
14517,Excision of heart using laparoscope
11661,Biopsy of arm using catheter
90629,Vaccination - preventive screening
10449,Excision of lungs using endoscope
13274,Repair of pelvis using laparoscope
11115,Suturing of lungs using stent
14371,Suturing of pelvis using catheter
15895,Drainage of brain using laser
70206,MRI scan of abdomen with contrast
16503,Drainage of pelvis using scalpel
11283,Reconstruction of spine using laparoscope
14958,Biopsy of arm using laparoscope
16392,Drainage of heart using laser
70592,Fluoroscopy of skin with contrast
91227,Therapy session - follow-up visit
14039,Repair of abdomen using laparoscope
13951,Drainage of brain using stent
11692,Repair of liver using laparoscope
16206,Biopsy of abdomen using endoscope
15681,Repair of spine using laser
